"Leder";"Egen afd";"Email";"Direkte funktionær";"Heraf ledere";"Direkte timeløn";"Direkte ialt";"Samlet funktionær";"Samlet timeløn";"Samlet ialt"
"Martin Fèvre Laustsen";"Hjørring Kommune";"martinl@hjorring.dk";"9";"3";"0";"9";"102";"12";"114"
"Elisabeth Bøgholm Meilsøe";"Borgmesterens Afdeling";"elisabethm@hjorring.dk";"5";"4";"1";"6";"11";"1";"12"
"Arnold Daugbjerg Nielsson";"Budget og Planlægning";"arnoldn@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Holger Rytter Gavlshøj Sørensen";"Byudvikling";"holgers@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Lorenz Castberg Lindgård";"HR og organisation";"lorenzl@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Daniella Dahl Andersen";"IT-Support";"daniellaa@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Elsa Reiner Jensen";"Skole og Børn";"elsaj@hjorring.dk";"27";"2";"1";"28";"77";"10";"87"
"Rickard Dam Jensen";"IT-Support";"rickardj@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Finn Martinsen";"Administration";"finnm@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Mette Jensen";"Bindslev skole";"mettej@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Knud Sølvtoft Pedersen";"Frederikshavn børnehus";"knudp@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Gert Støjberg Olsen";"Frederikshavn skole";"gerto@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Leif Hjerrild Sørensen";"Hirtshals børnehus";"leifs@hjorring.dk";"2";"1";"1";"3";"5";"1";"6"
"Preben Nielsen";"Administration";"prebenn@hjorring.dk";"3";"0";"0";"3";"3";"0";"3"
"Jan Langvang Poulsen";"Hjørring børnehus";"janp@hjorring.dk";"4";"2";"0";"4";"9";"0";"9"
"Baltzer Lind Toft";"Administration";"baltzert@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Finn Corell Jensen";"Teknisk Support";"finnj@hjorring.dk";"4";"0";"0";"4";"4";"0";"4"
"Margrethe Werther Høstrup";"Hjørring skole";"margretheh@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Jens Lillienthal Wriedt";"Jerslev J børnehus";"jensw@hjorring.dk";"0";"0";"1";"1";"0";"1";"1"
"Charles Jørgensen";"Jerslev J skole";"charlesj@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Torben Højrup Andersen";"Løkken børnehus";"torbena@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Ditte Mortensen";"Løkken skole";"dittem@hjorring.dk";"0";"0";"0";"0";"0";"0";"0"
"Anders Antonsen";"Sindal børnehus";"andersa@hjorring.dk";"1";"0";"0";"1";"1";"0";"1"
"Edith Ovesen";"Sindal skole";"editho@hjorring.dk";"1";"0";"1";"2";"1";"1";"2"
"Aage Dahl Salminen";"Tårs børnehus";"aages@hjorring.dk";"4";"1";"0";"4";"6";"1";"7"
"Bent Kildegaard Lydiksen";"Administration";"bentl@hjorring.dk";"2";"0";"1";"3";"2";"1";"3"
"C Krogh Dalgaard";"Vrå børnehus";"cd@hjorring.dk";"3";"0";"0";"3";"3";"0";"3"
"Abdul Damgaard";"Vrå skole";"abduld@hjorring.dk";"3";"0";"1";"4";"3";"1";"4"
"Kristen Aare Uggerhøj";"Ålbæk børnehus";"kristenu@hjorring.dk";"3";"1";"0";"3";"5";"2";"7"
"Gitte Risager Axelsen";"Administration";"gittea@hjorring.dk";"2";"0";"2";"4";"2";"2";"4"
"Julius Jensen";"Ålbæk skole";"juliusj@hjorring.dk";"0";"0";"1";"1";"0";"1";"1"
"Christence Lauritsen";"Østervrå børnehus";"christencel@hjorring.dk";"2";"1";"0";"2";"4";"0";"4"
"Claus Irfan Ayach";"Administration";"clausa@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Marie Kristensen";"Østervrå skole";"mariek@hjorring.dk";"1";"0";"1";"2";"1";"1";"2"
"Jeanette Borg Kristensen";"Social Indsats";"jeanettek@hjorring.dk";"0";"0";"0";"0";"0";"0";"0"
"Hanna Hede Pedersen";"Social og sundhed";"hannap@hjorring.dk";"0";"0";"0";"0";"0";"0";"0"
"Gertrud Fjelsted Mujacic";"Belysning";"gertrudm@hjorring.dk";"1";"1";"0";"1";"1";"0";"1"
"Bente Pedersen";"Kantine";"bentep@hjorring.dk";"0";"0";"0";"0";"0";"0";"0"
"Axel Krumbæk Dam";"IT-Support";"axeld@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Kai Juul Svendsen";"Park og vej";"kais@hjorring.dk";"2";"0";"0";"2";"2";"0";"2"
"Edith Højlund Rasmussen";"Renovation";"edithr@hjorring.dk";"0";"0";"1";"1";"0";"1";"1"
